"","band_num","date","SPECIES","COORDINATES"
"1","795-69001",1983-06-02,"BWTE","52.08333 -106.08333"
"2","795-69019",1983-07-12,"BWTE","52.08333 -106.08333"
"3","795-69012",1983-07-14,"BWTE","52.08333 -106.08333"
"4","795-69013",1983-07-15,"BWTE","52.08333 -106.08333"
"5","795-69016",1983-07-19,"BWTE","52.08333 -106.08333"
"6","795-69017",1983-07-20,"BWTE","52.08333 -106.08333"
"7","795-69018",1983-07-20,"BWTE","52.08333 -106.08333"
"8","795-69020",1983-07-20,"BWTE","52.08333 -106.08333"
"9","795-69021",1983-07-20,"BWTE","52.08333 -106.08333"
"10","795-69026",1983-08-05,"BWTE","52.08333 -106.08333"
"11","795-69028",1983-08-05,"BWTE","52.08333 -106.08333"
"12","795-69032",1983-08-05,"BWTE","52.08333 -106.08333"
"13","795-69034",1983-08-05,"BWTE","52.08333 -106.08333"
"14","795-69038",1983-08-05,"BWTE","52.08333 -106.08333"
"15","795-69039",1983-08-05,"BWTE","52.08333 -106.08333"
"16","795-69040",1983-08-05,"BWTE","52.08333 -106.08333"
"17","795-69042",1983-08-05,"BWTE","52.08333 -106.08333"
"18","795-69044",1983-08-05,"BWTE","52.08333 -106.08333"
"19","795-69045",1983-08-05,"BWTE","52.08333 -106.08333"
"20","795-69046",1983-08-05,"BWTE","52.08333 -106.08333"
"21","795-69047",1983-08-05,"BWTE","52.08333 -106.08333"
"22","795-69048",1983-08-05,"BWTE","52.08333 -106.08333"
"23","795-69049",1983-08-05,"BWTE","52.08333 -106.08333"
"24","795-69050",1983-08-05,"BWTE","52.08333 -106.08333"
"25","795-69051",1983-08-05,"BWTE","52.08333 -106.08333"
"26","795-69053",1983-08-10,"BWTE","52.08333 -106.08333"
"27","795-69054",1983-08-10,"BWTE","52.08333 -106.08333"
"28","795-69055",1983-08-10,"BWTE","52.08333 -106.08333"
"29","795-69056",1983-08-10,"BWTE","52.08333 -106.08333"
"30","795-69057",1983-08-10,"BWTE","52.08333 -106.08333"
"31","795-69058",1983-08-10,"BWTE","52.08333 -106.08333"
"32","795-69059",1983-08-10,"BWTE","52.08333 -106.08333"
"33","795-69010",1983-07-07,"BWTE","52.08333 -106.08333"
"34","795-69060",1983-08-10,"BWTE","52.08333 -106.08333"
"35","795-69061",1983-08-10,"BWTE","52.08333 -106.08333"
"36","795-69062",1983-08-10,"BWTE","52.08333 -106.08333"
"37","795-69064",1983-08-10,"BWTE","52.08333 -106.08333"
"38","795-69066",1983-08-10,"BWTE","52.08333 -106.08333"
"39","795-69067",1983-08-10,"BWTE","52.08333 -106.08333"
"40","795-69069",1983-08-25,"BWTE","52.08333 -106.08333"
"41","795-69077",1983-08-25,"BWTE","52.08333 -106.08333"
"42","795-69079",1983-08-25,"BWTE","52.08333 -106.08333"
"43","795-69081",1983-08-25,"BWTE","52.08333 -106.08333"
"44","795-69085",1984-06-05,"BWTE","52.08333 -106.08333"
"45","795-69087",1984-06-18,"BWTE","52.08333 -106.08333"
"46","795-69089",1984-06-25,"BWTE","52.08333 -106.08333"
"47","795-69092",1984-07-09,"BWTE","52.08333 -106.08333"
"48","775-74117",1985-06-01,"BWTE","52.25 -106.08333"
"49","775-74119",1985-06-09,"BWTE","52.25 -106.08333"
"50","775-74120",1985-06-09,"BWTE","52.25 -106.08333"
"51","775-74121",1985-06-11,"BWTE","52.25 -106.08333"
"52","775-74122",1985-06-11,"BWTE","52.25 -106.08333"
"53","775-74123",1985-06-13,"BWTE","52.25 -106.08333"
"54","775-74124",1985-06-13,"BWTE","52.25 -106.08333"
"55","775-74125",1985-06-14,"BWTE","52.25 -106.08333"
"56","775-74126",1985-06-14,"BWTE","52.25 -106.08333"
"57","775-74127",1985-06-15,"BWTE","52.25 -106.08333"
"58","775-74128",1985-06-15,"BWTE","52.25 -106.08333"
"59","775-74129",1985-06-19,"BWTE","52.25 -106.08333"
"60","775-74130",1985-06-24,"BWTE","52.25 -106.08333"
"61","775-74131",1985-06-24,"BWTE","52.25 -106.08333"
"62","775-74132",1985-06-25,"BWTE","52.25 -106.08333"
"63","775-74134",1985-06-27,"BWTE","52.25 -106.08333"
"64","775-74136",1985-07-03,"BWTE","52.25 -106.08333"
"65","775-74138",1985-07-09,"BWTE","52.25 -106.08333"
"66","775-74144",1985-07-15,"BWTE","52.25 -106.08333"
"67","775-74156",1985-07-15,"BWTE","52.25 -106.08333"
"68","775-74158",1985-07-15,"BWTE","52.25 -106.08333"
"69","775-74157",1985-07-15,"BWTE","52.25 -106.08333"
"70","775-74166",1985-07-16,"BWTE","52.25 -106.08333"
"71","775-74176",1985-07-22,"BWTE","52.25 -106.08333"
"72","775-74177",1985-07-22,"BWTE","52.25 -106.08333"
"73","775-74190",1985-07-23,"BWTE","52.25 -106.08333"
"74","775-74309",1985-07-24,"BWTE","52.25 -106.08333"
"75","775-74321",1985-07-25,"BWTE","52.25 -106.08333"
"76","775-74323",1985-07-25,"BWTE","52.25 -106.08333"
"77","775-74325",1985-07-25,"BWTE","52.25 -106.08333"
"78","775- 74327",1985-07-25,"BWTE","52.25 -106.08333"
"79","775-74348",1985-07-30,"BWTE","52.25 -106.08333"
"80","775-74350",1985-07-30,"BWTE","52.25 -106.08333"
"81","775-75353",1985-07-30,"BWTE","52.25 -106.08333"
"82","775-74355",1985-07-30,"BWTE","52.25 -106.08333"
"83","775-74356",1985-07-30,"BWTE","52.25 -106.08333"
"84","775-74358",1985-07-30,"BWTE","52.25 -106.08333"
"85","775-74362",1985-07-30,"BWTE","52.25 -106.08333"
"86","775-74369",1985-07-30,"BWTE","52.25 -106.08333"
"87","775-74370",1985-07-30,"BWTE","52.25 -106.08333"
"88","775-74379",1985-07-30,"BWTE","52.25 -106.08333"
"89","775-74383",1985-08-01,"BWTE","52.25 -106.08333"
"90","775-74386",1985-08-01,"BWTE","52.25 -106.08333"
"91","775-74388",1985-08-01,"BWTE","52.25 -106.08333"
"92","775-74390",1985-08-01,"BWTE","52.25 -106.08333"
"93","775-74391",1985-08-01,"BWTE","52.25 -106.08333"
"94","775-74399",1985-08-06,"BWTE","52.25 -106.08333"
"95","775-74201",1985-08-06,"BWTE","52.25 -106.08333"
"96","775-74400",1985-08-06,"BWTE","52.25 -106.08333"
"97","775-74202",1985-08-06,"BWTE","52.25 -106.08333"
"98","775-74206",1985-08-06,"BWTE","52.25 -106.08333"
"99","775-74207",1985-08-06,"BWTE","52.25 -106.08333"
"100","775-74219",1985-08-08,"BWTE","52.25 -106.08333"
"101","775-74221",1985-08-08,"BWTE","52.25 -106.08333"
"102","775-74222",1985-08-08,"BWTE","52.25 -106.08333"
"103","775-74223",1985-08-08,"BWTE","52.25 -106.08333"
"104","775-74224",1985-08-08,"BWTE","52.25 -106.08333"
"105","775-74225",1985-08-08,"BWTE","52.25 -106.08333"
"106","775-74226",1985-08-08,"BWTE","52.25 -106.08333"
"107","775-74228",1985-08-08,"BWTE","52.25 -106.08333"
"108","775-74233",1985-08-08,"BWTE","52.25 -106.08333"
"109","775-74251",1985-08-12,"BWTE","52.25 -106.08333"
"110","775-74252",1985-08-12,"BWTE","52.25 -106.08333"
"111","775-74253",1985-08-12,"BWTE","52.25 -106.08333"
"112","775-74254",1985-08-13,"BWTE","52.25 -106.08333"
"113","775-74255",1985-08-15,"BWTE","52.25 -106.08333"
"114","775-74256",1985-08-15,"BWTE","52.25 -106.08333"
"115","775-74257",1985-08-15,"BWTE","52.25 -106.08333"
"116","775-74259",1985-08-15,"BWTE","52.25 -106.08333"
"117","775-74260",1985-08-15,"BWTE","52.25 -106.08333"
"118","775-74262",1985-08-15,"BWTE","52.25 -106.08333"
"119","775-74264",1985-08-19,"BWTE","52.25 -106.08333"
"120","775-74267",1985-08-19,"BWTE","52.25 -106.08333"
"121","775-74277",1985-08-19,"BWTE","52.25 -106.08333"
"122","775-74278",1985-08-19,"BWTE","52.25 -106.08333"
"123","775-74279",1985-08-19,"BWTE","52.25 -106.08333"
"124","775-74280",1985-08-19,"BWTE","52.25 -106.08333"
"125","775-74281",1985-08-19,"BWTE","52.25 -106.08333"
"126","775-74282",1985-08-19,"BWTE","52.25 -106.08333"
"127","775-74433",1985-08-27,"BWTE","52.08333 -106.08333"
"128","775-74434",1985-08-27,"BWTE","52.08333 -106.08333"
"129","775-74435",1985-08-27,"BWTE","52.08333 -106.08333"
"130","775-74436",1985-08-27,"BWTE","52.08333 -106.08333"
"131","775-74301",1985-07-24,"BWTE","52.25 -106.08333"
"132","775-74457",1985-08-29,"BWTE","52.08333 -106.08333"
"133","775-74458",1985-08-29,"BWTE","52.08333 -106.08333"
"134","775-74460",1985-08-29,"BWTE","52.08333 -106.08333"
"135","775-74465",1985-08-29,"BWTE","52.08333 -106.08333"
"136","775-74463",1985-08-29,"BWTE","52.08333 -106.08333"
"137","865-18504+CB",1986-06-16,"BWTE","52.08333 -106.08333"
"138","865-18506+CB",1986-06-17,"BWTE","52.08333 -106.08333"
"139","865-18508+CB",1986-06-19,"BWTE","52.08333 -106.08333"
"140","865-18509+CB",1986-06-20,"BWTE","52.08333 -106.08333"
"141","865-18511+CB",1986-06-24,"BWTE","52.08333 -106.08333"
"142","865-18512+CB",1986-06-24,"BWTE","52.08333 -106.08333"
"143","865-18514+CB",1986-06-27,"BWTE","52.08333 -106.08333"
"144","865-18532+CB",1986-07-14,"BWTE","52.08333 -106.08333"
"145","865-18533+CB",1986-07-16,"BWTE","52.08333 -106.08333"
"146","865-18540+CB",1986-07-16,"BWTE","52.08333 -106.08333"
"147","865-18544+CB",1986-07-16,"BWTE","52.08333 -106.08333"
"148","865-18559+CB",1986-07-29,"BWTE","52.08333 -106.08333"
"149","865-18571+CB",1986-07-31,"BWTE","52.08333 -106.08333"
"150","865-18539+GCB",1986-07-16,"BWTE","52.08333 -106.08333"
"151","865-18742",1986-08-20,"BWTE","52.08333 -106.08333"
"152","865-18746",1986-08-20,"BWTE","52.08333 -106.08333"
"153","865-18536",1986-07-16,"BWTE","52.08333 -106.08333"
"154","865-18581",1986-08-12,"BWTE","52.08333 -106.08333"
"155","865-18589",1986-08-12,"BWTE","52.08333 -106.08333"
"156","865-18594",1986-08-13,"BWTE","52.08333 -106.08333"
"157","865-18596",1986-08-13,"BWTE","52.08333 -106.08333"
"158","865-18661+GCB",1986-08-28,"BWTE","52.08333 -106.08333"
"159","865-18763+GCB",1986-08-22,"BWTE","52.08333 -106.08333"
"160","865-18665+GCB",1986-08-30,"BWTE","52.08333 -106.08333"
"161","775-74198",1985-07-23,"BWTE","52.25 -106.08333"
"162","865-18668+Gband",1986-08-31,"BWTE","52.08333 -106.08333"
"163","865-18675+RB",1987-06-07,"BWTE","52.08333 -106.08333"
"164","865-18678+RB",1987-06-07,"BWTE","52.08333 -106.08333"
"165","865-18679+RB",1987-06-07,"BWTE","52.08333 -106.08333"
"166","865-18680+RB",1987-06-07,"BWTE","52.08333 -106.08333"
"167","865-18684+RB",1987-06-26,"BWTE","52.08333 -106.08333"
"168","865-18686+RB",1987-07-02,"BWTE","52.08333 -106.08333"
"169","865-18689+RB",1987-07-08,"BWTE","52.08333 -106.08333"
"170","865-18690+RB",1987-07-10,"BWTE","52.08333 -106.08333"
"171","865-18691+RB",1987-07-11,"BWTE","52.08333 -106.08333"
"172","865-18700+RB",1987-07-21,"BWTE","52.08333 -106.08333"
"173","865-18805+RB",1987-07-21,"BWTE","52.08333 -106.08333"
"174","865-18833+RB",1987-07-23,"BWTE","52.08333 -106.08333"
"175","865-18834+RB",1987-07-23,"BWTE","52.08333 -106.08333"
"176","865-18878",1987-08-27,"BWTE","52.08333 -106.08333"
"177","865-18935",1988-05-11,"BWTE","52.08333 -106.08333"
"178","865-18940",1988-06-13,"BWTE","52.08333 -106.08333"
"179","865-18942",1988-06-14,"BWTE","52.08333 -106.08333"
"180","865-18943",1988-06-17,"BWTE","52.08333 -106.08333"
"181","865-18944",1988-06-18,"BWTE","52.08333 -106.08333"
"182","755-49218",1988-06-06,"BWTE","52.08333 -106.08333"
"183","755-49219",1988-06-25,"BWTE","52.08333 -106.08333"
"184","755-49220",1988-06-28,"BWTE","52.08333 -106.08333"
"185","755-49230",1988-07-22,"BWTE","52.08333 -106.08333"
"186","755-49285",1988-07-29,"BWTE","52.08333 -106.08333"
"187","755-49287",1988-07-29,"BWTE","52.08333 -106.08333"
"188","755-49297",1988-08-08,"BWTE","52.08333 -106.08333"
"189","755-49288",1988-07-29,"BWTE","52.08333 -106.08333"
"190","755-49294",1988-08-08,"BWTE","52.08333 -106.08333"
"191","755-49296",1988-08-08,"BWTE","52.08333 -106.08333"
"192","755-49308",1988-08-10,"BWTE","52.08333 -106.08333"
"193","755-49377",1989-08-03,"BWTE","52.08333 -106.08333"
"194","755-49385",1989-08-03,"BWTE","52.08333 -106.08333"
"195","755-49369",1989-08-03,"BWTE","52.08333 -106.08333"
"196","755-49350",1989-07-06,"BWTE","52.08333 -106.08333"
"197","755-49348",1989-06-20,"BWTE","52.08333 -106.08333"
"198","755-49253",1988-07-25,"BWTE","52.08333 -106.08333"
"199","755-49386",1989-08-03,"BWTE","52.08333 -106.08333"
"200","755-49371",1989-08-03,"BWTE","52.08333 -106.08333"
"201","755-49497",1990-06-23,"BWTE","52.08333 -106.08333"
"202","755-49247",1988-07-25,"BWTE","52.08333 -106.08333"
"203","755-49499",1990-06-27,"BWTE","52.08333 -106.08333"
"204","865-18850",1987-08-16,"BWTE","52.08333 -106.08333"
"205","865-18842",1987-08-15,"BWTE","52.08333 -106.08333"
"206","885-43219+CB",1990-08-03,"BWTE","52.08333 -106.08333"
"207","885-43221+CB",1990-08-10,"BWTE","52.08333 -106.08333"
"208","885-43222+CB",1990-08-10,"BWTE","52.08333 -106.08333"
"209","885-43223+CB",1990-08-10,"BWTE","52.08333 -106.08333"
"210","885-43224+CB",1990-08-10,"BWTE","52.08333 -106.08333"
"211","885-43225+CB",1990-08-10,"BWTE","52.08333 -106.08333"
"212","755-49468+CB",1989-08-17,"BWTE","52.25 -106.08333"
"213","865-18948",1988-07-20,"BWTE","52.08333 -106.08333"
"214","885-43375",1991-06-23,"BWTE","52.08333 -106.08333"
"215","885-43377",1991-07-17,"BWTE","52.08333 -106.08333"
"216","885-43378",1991-07-19,"BWTE","52.08333 -106.08333"
"217","885-43421",1991-08-28,"BWTE","52.08333 -106.08333"
"218","876-04949",1986-06-25,"GADW","52.08333 -106.08333"
"219","876-04950",1986-06-28,"GADW","52.08333 -106.08333"
"220","876-04951",1986-07-08,"GADW","52.08333 -106.08333"
"221","876-04952",1986-07-08,"GADW","52.08333 -106.08333"
"222","876-04967",1987-06-25,"GADW","52.08333 -106.08333"
"223","876-04970",1987-07-01,"GADW","52.08333 -106.08333"
"224","876-04971",1987-07-02,"GADW","52.08333 -106.08333"
"225","876-04972",1987-07-06,"GADW","52.08333 -106.08333"
"226","876-04973",1987-07-14,"GADW","52.08333 -106.08333"
"227","876-04984",1988-05-25,"GADW","52.08333 -106.08333"
"228","876-04985",1988-06-20,"GADW","52.08333 -106.08333"
"229","876-04986",1988-06-23,"GADW","52.08333 -106.08333"
"230","876-04988",1988-06-23,"GADW","52.08333 -106.08333"
"231","876-04989",1988-06-30,"GADW","52.08333 -106.08333"
"232","876-04990",1988-06-30,"GADW","52.08333 -106.08333"
"233","876-04902",1983-08-04,"AMWI","52.08333 -106.08333"
"234","876-04997",1988-07-22,"GADW","52.08333 -106.08333"
"235","596-68116",1989-07-02,"GADW","52.08333 -106.08333"
"236","596-68127",1989-07-07,"GADW","52.08333 -106.08333"
"237","596-68130",1989-07-11,"GADW","52.08333 -106.08333"
"238","596-68132",1989-07-13,"GADW","52.08333 -106.08333"
"239","596-68126",1989-07-06,"GADW","52.08333 -106.08333"
"240","596-68115",1989-07-02,"GADW","52.08333 -106.08333"
"241","596-68129",1989-07-08,"GADW","52.08333 -106.08333"
"242","596-68113",1989-06-22,"GADW","52.08333 -106.08333"
"243","596-68168",1990-06-25,"GADW","52.08333 -106.08333"
"244","596-68177",1990-07-03,"GADW","52.08333 -106.08333"
"245","596-68176",1990-07-01,"GADW","52.08333 -106.08333"
"246","596-68180",1990-07-05,"GADW","52.08333 -106.08333"
"247","596-68183",1990-07-05,"GADW","52.08333 -106.08333"
"248","596-68186",1990-07-09,"GADW","52.08333 -106.08333"
"249","596-68187",1990-07-09,"GADW","52.08333 -106.08333"
"250","596-68189",1990-07-13,"GADW","52.08333 -106.08333"
"251","596-68188",1990-07-10,"GADW","52.08333 -106.08333"
"252","596-68196",1990-07-19,"GADW","52.08333 -106.08333"
"253","596-68198",1990-08-10,"GADW","52.08333 -106.08333"
"254","596-68174",1990-06-30,"GADW","52.08333 -106.08333"
"255","596-68167",1990-06-03,"GADW","52.08333 -106.08333"
"256","596-68165",1990-05-13,"GADW","52.08333 -106.08333"
"257","596-68169",1990-06-27,"GADW","52.08333 -106.08333"
"258","596-68171",1990-06-28,"GADW","52.08333 -106.08333"
"259","596-68175",1990-06-30,"GADW","52.08333 -106.08333"
"260","896-62801",1990-08-02,"GADW","52.08333 -106.08333"
"261","896-62896",1991-06-28,"GADW","52.08333 -106.08333"
"262","896-62895",1991-06-26,"GADW","52.08333 -106.08333"
"263","896-62898",1991-07-06,"GADW","52.08333 -106.08333"
"264","896-75105",1991-07-18,"GADW","52.25 -106.08333"
"265","896-75106",1991-07-20,"GADW","52.25 -106.08333"
"266","896-75117",1991-07-26,"GADW","52.25 -106.08333"
"267","896-75118",1991-07-31,"GADW","52.25 -106.08333"
"268","896-75110",1991-07-26,"GADW","52.25 -106.08333"
"269","896-75115",1991-07-26,"GADW","52.25 -106.08333"
"270","896-75159",1992-07-14,"GADW","52.08333 -106.08333"
"271","896-75157",1992-07-10,"GADW","52.08333 -106.08333"
"272","896-75156",1992-07-09,"GADW","52.08333 -106.08333"
"273","896-75153",1992-07-09,"GADW","52.08333 -106.08333"
"274","896-75152",1992-07-08,"GADW","52.08333 -106.08333"
"275","896-75145",1992-07-03,"GADW","52.25 -106.08333"
"276","896-75146",1992-06-30,"GADW","52.25 -106.08333"
"277","896-75144",1992-06-26,"GADW","52.25 -106.08333"
"278","896-75168",1992-08-07,"GADW","52.08333 -106.08333"
"279","896-75165",1992-08-07,"GADW","52.08333 -106.08333"
"280","896-75167",1992-08-07,"GADW","52.08333 -106.08333"
"281","896-75149",1992-07-03,"GADW","52.25 -106.08333"
"282","896-75147",1992-07-03,"GADW","52.25 -106.08333"
"283","896-75150",1992-07-06,"GADW","52.25 -106.08333"
"284","896-75143",1992-06-26,"GADW","52.25 -106.08333"
"285","896-75113",1991-07-26,"GADW","52.25 -106.08333"
"286","896-75204",1993-07-02,"GADW","52.08333 -106.08333"
"287","896-75207",1994-06-16,"GADW","52.08333 -106.08333"
"288","896-75208",1994-06-17,"GADW","52.08333 -106.08333"
"289","896-75209",1994-06-23,"GADW","52.08333 -106.08333"
"290","896-75210",1994-06-25,"GADW","52.08333 -106.08333"
"291","896-75211",1994-06-27,"GADW","52.08333 -106.08333"
"292","896-75212",1994-06-22,"GADW","52.08333 -106.08333"
"293","896-75215",1994-07-01,"GADW","52.08333 -106.08333"
"294","896-75216",1994-07-04,"GADW","52.08333 -106.08333"
"295","896-75217",1994-07-08,"GADW","52.08333 -106.08333"
"296","896-75218",1994-07-09,"GADW","52.08333 -106.08333"
"297","896-75219",1994-07-10,"GADW","52.08333 -106.08333"
"298","896-75220",1994-07-12,"GADW","52.08333 -106.08333"
"299","896-75221",1994-07-13,"GADW","52.08333 -106.08333"
"300","896-75224",1994-07-16,"GADW","52.08333 -106.08333"
"301","896-75225",1994-07-17,"GADW","52.08333 -106.08333"
"302","896-75236",1994-08-04,"GADW","52.08333 -106.08333"
"303","896-75237",1994-08-04,"GADW","52.08333 -106.08333"
"304","896-75250",1994-08-04,"GADW","52.08333 -106.08333"
"305","896-75266",1994-08-10,"GADW","52.08333 -106.08333"
"306","896-75267",1994-08-10,"GADW","52.08333 -106.08333"
"307","896-75263",1994-08-10,"GADW","52.08333 -106.08333"
"308","896-75290",1995-07-07,"GADW","52.08333 -106.08333"
"309","896-75296",1995-07-14,"GADW","52.08333 -106.08333"
"310","896-75286",1995-06-23,"GADW","52.08333 -106.08333"
"311","896-75288",1995-07-06,"GADW","52.08333 -106.08333"
"312","896-75292",1995-07-10,"GADW","52.08333 -106.08333"
"313","896-75291",1995-07-09,"GADW","52.08333 -106.08333"
"314","896-75293",1995-07-11,"GADW","52.08333 -106.08333"
"315","896-75294",1995-07-13,"GADW","52.08333 -106.08333"
"316","896-75295",1995-07-13,"GADW","52.08333 -106.08333"
"317","896-75299",1995-07-16,"GADW","52.08333 -106.08333"
"318","896-75300",1995-07-17,"GADW","52.08333 -106.08333"
"319","896-75303",1995-07-25,"GADW","52.08333 -106.08333"
"320","896-75304",1995-07-17,"GADW","52.08333 -106.08333"
"321","896-75305",1995-07-18,"GADW","52.08333 -106.08333"
"322","896-75306",1995-07-19,"GADW","52.08333 -106.08333"
"323","896-75307",1995-07-21,"GADW","52.08333 -106.08333"
"324","896-75308",1995-07-22,"GADW","52.08333 -106.08333"
"325","896-75309",1995-07-25,"GADW","52.08333 -106.08333"
"326","896-75349",1995-08-28,"GADW","52.08333 -106.08333"
"327","896-75351",1995-08-31,"GADW","52.08333 -106.08333"
"328","686-13932",1995-07-11,"GADW","52.08333 -106.08333"
"329","896-75287",1995-07-05,"GADW","52.08333 -106.08333"
"330","686-13916",1992-07-07,"GADW","52.25 -106.08333"
"331","686-13935",1996-06-26,"GADW","52.08333 -106.08333"
"332","686-13937",1996-07-09,"GADW","52.08333 -106.08333"
"333","686-13938",1996-07-10,"GADW","52.08333 -106.08333"
"334","686-13939",1996-07-10,"GADW","52.08333 -106.08333"
"335","686-13940",1996-07-11,"GADW","52.08333 -106.08333"
"336","686-13941",1996-07-12,"GADW","52.08333 -106.08333"
"337","686-13942",1996-07-12,"GADW","52.08333 -106.08333"
"338","686-13943",1996-07-12,"GADW","52.08333 -106.08333"
"339","686-13944",1996-07-12,"GADW","52.08333 -106.08333"
"340","686-13945",1996-07-14,"GADW","52.08333 -106.08333"
"341","686-13946",1996-07-14,"GADW","52.08333 -106.08333"
"342","686-13947",1996-07-14,"GADW","52.08333 -106.08333"
"343","686-13948",1996-07-16,"GADW","52.08333 -106.08333"
"344","686-13949",1996-07-18,"GADW","52.08333 -106.08333"
"345","686-13950",1996-07-18,"GADW","52.08333 -106.08333"
"346","686-13952",1996-07-18,"GADW","52.08333 -106.08333"
"347","686-13953",1996-07-18,"GADW","52.08333 -106.08333"
"348","686-13954",1996-07-18,"GADW","52.08333 -106.08333"
"349","686-13956",1996-07-26,"GADW","52.08333 -106.08333"
"350","686-13957",1996-07-27,"GADW","52.08333 -106.08333"
"351","686-13958",1996-07-28,"GADW","52.08333 -106.08333"
"352","686-13959",1996-08-28,"GADW","52.08333 -106.08333"
"353","686-13960",1996-08-28,"GADW","52.08333 -106.08333"
"354","686-13961",1996-08-28,"GADW","52.08333 -106.08333"
"355","686-13963",1996-08-28,"GADW","52.08333 -106.08333"
"356","686-13965",1996-08-28,"GADW","52.08333 -106.08333"
"357","1056-37162",2000-07-12,"GADW","52.25 -106.08333"
"358","686-13971",1996-08-31,"GADW","52.08333 -106.08333"
"359","686-13974",1997-06-22,"GADW","52.08333 -106.08333"
"360","686-13981",1997-06-28,"GADW","52.08333 -106.08333"
"361","686-13983",1994-07-18,"GADW","52.08333 -106.08333"
"362","686-13984",1997-07-02,"GADW","52.08333 -106.08333"
"363","686-13986",1997-07-03,"GADW","52.08333 -106.08333"
"364","686-13987",1997-07-04,"GADW","52.08333 -106.08333"
"365","686-13991",1997-07-05,"GADW","52.08333 -106.08333"
