band_num,species,nest_num,nasalTags_LT,nasalTags_RT,date_hatched,ordinal_hatched,fenced,radio_freq,num_hatched,date_trapped,handling_time_min,implant_mauser,drug_pm,dose_cc,num_leaving_nest,comments
596-68175,GADW,176,yell square,yell circle,1995-07-22,NA,NA,2.891,NA,NA,NA,i,NA,NA,NA,7 years is written with pencil randomly; 21 written in the corner
896-75226,GADW,143,or triangle,yell square,NA,NA,NA,2.94,NA,NA,NA,i,NA,NA,NA,nest depredated; band number was removed for surgery and never put back on; 20 written in the corner
686-13916,GADW,938,yell triangle,wht Y,1995-07-15,NA,NA,2.88,NA,NA,NA,NA,NA,NA,NA,nasal tags reused; female found dead; 23 written in the corner
896-75293,GADWALL,283,pink square,pink circle,NA,NA,NA,2.96,NA,NA,NA,i,NA,NA,NA,32 written in the corner
896-75303,GADW,285,pink square,pink triangle,NA,NA,NA,2.92,NA,NA,NA,i,NA,NA,NA,female dead on nest post surgery; recruit std 2458; 36 written in the corner
896-75287,GADW,933,pink square,pink square,NA,NA,NA,2.19,NA,NA,NA,i,NA,NA,NA,hatched; female dead; 24 written in the corner
896-75286,GADW,224,org triangle,wt circle,NA,NA,NA,2.84,NA,NA,NA,i,NA,NA,NA,nest depredated 1995-06-26; 18 written in the corner
896-75288,GADW,189,pink triangle,pink triangle,NA,NA,NA,2.852,NA,NA,NA,i,NA,NA,NA,hatched; 25 written in the corner
896-75294,GADW,231,pink circle,pink square,NA,NA,NA,2.87,NA,NA,NA,i,NA,NA,NA,abandoned; 33 written in the corner
686-13935,GADW,117,br triangle,wt square,1996-07-01,NA,y,2.37,12,1996-06-26,75,m,p,0.7+0.6,12,183rd day of year
686-13938,GADW,282,pink triangle,lt bl triangle,1996-07-15,NA,NA,2.632,5,1996-07-10,NA,m,p,NA,5,"fence not lifted, I'll mesh-only one small section; 197 day of year"
686-13941,GADW,449,purp circle,brn circle,1996-07-15,NA,n,2.863,9,1996-07-12,85,m,p,0.65 in 70 sec,NA,count aug 7; island written randomly
686-13946,GADW,294,purp square,brn circle,1996-07-22,NA,n,3.343,5,1996-07-16,30,m,p,0.7 in 90 sec,5,"count aug 8; SW pd65, ditli"
686-13950,GADW,347,purple square,wht Y,1996-07-23,NA,n,2.743,9,1996-07-18,70,m,p,0.5 in 90 sec,NA,N pd125; 205 day of year
NA,GADW,NA,violet square,wht Y,1996-07-23,NA,NA,2.743,9,NA,NA,NA,NA,NA,NA,NA
686-13955,GADW,405,purp oval,white Y,NA,NA,NA,3.365,NA,1996-07-24,45,m,p,0.9,NA,NW pd55; female dead
896-75105,GADW,194,org circle,org square,1996-07-07,NA,y,2.982,9,1996-07-02,65,m,p,0.75ml,3,NW pd 20; num leaving revised by RGC 1996-07-09
896-75167,GADW,363,yell triangle,wt square,1996-07-11,NA,y,2.484,10,1996-07-04,65,m,p,0.75,10,N of 69; 193 day of year
896-75208,GADW,241,yell circle,org circle,1996-07-04,NA,y,2.522,10,1996-07-01,50,m,p,0.7 in 2min30 sec,10,SW 139
896-75286,GADW,296,org triangle,wht circle,1996-07-06,NA,NA,2.76,9,1996-07-02,50,m,p,0.9,9,"W of 6642; reradioed-nest depred 95, unsucc 95"
896-75293,GADW,432,pink square,pink circle,1996-07-19,NA,NA,2.542,9,1997-07-16,80,m,p,0.5,9,E of pd63; count aug 7-8
896-75295,GADW,131,pk triangle,pk circle,1996-07-03,NA,y,2.581,11,1996-06-27,60,m,p,0.7 in 90 sec,11,"SE pd50; female shot cameron NWR Louisiana 1996-11-14; reradioed nest in 95, aban!"
896-75356,GADW,192,purp triangle,org triangle,1996-06-30,NA,y,2.503,9,1996-06-27,NA,m,p,NA,9,182 day of year(when hatched)
896-75359,GADW,193,yell circle,white square,1996-07-03,NA,n,2.683(2),11,1996-06-29,90,m,p,0.7 in >90 sec,11,N pd20
896-75361,GADW,178,wht circle,brn circle,1996-07-04,NA,y,3.154,9,1996-07-02,65,m,p,NA,9,"186 day of year(when hatched), final count aug 4"
896-75362,GADW,264,yell square,purp triangle,1996-07-04,NA,y,3.063,8,1996-07-03,90,m,p,NA,8,S of 26; 186 day of year(when hatched)
896-75363,GADW,331,purp triangle,wt circle,1996-7-4,NA,n,2.423,10,1996-07-03,90,m,p,0.7,10,S of 67; count aug 4-5
896-75364,GADW,372,pink triangle,yell circle,1996-07-10,NA,y,3.132,11or10,1996-07-03,85,m,p,0.9 in 2 min,11 or 10,NW of pd29
896-75365,GADW,281,wht Y,brn circle,1996-07-06,NA,n,2.703,10,1996-07-05,NA,NA,NA,NA,NA,radio re-used; day 188 of year(when hatched)
896-75367,GADW,392,purp triangle,org circle,1996-07-11,NA,y,2.703,10,1996-07-08,NA,m,p,NA,10,"WNW pd1, 5 box 12, fenced after trapped"
896-75381,GADW,479,wt circle,grn circle,1996-08-17,NA,n,2.612,8,1996-08-16,40,m,p,1 cc,8(7),230 day of the year when hatched
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"* STILL NEEDS TO BE ENTERED: Binder has some sheets, in different formatting, that are radio tags (maybe for ducklings)",,,,,,,,,,,,,,,,